Orientation [°],Layer Height [mm],Nozzle Diameter [mm],Print Speed [mm/min],Avg Temperature [°C],Avg Filament Speed [mm/s],Avg Force [g],Modulus [MPa],Tensile Stress at Tensile Strength [MPa],Run,Sample,Notes,Filepath
0,0.2,0.3,2400,227.54,0.93,998.14,2121.55,38.90,2,3,JB,C:/Users/gerardoamc/Downloads/Data Collection/0 degree orientation/0_4_3200_100_25_02_03_2400/2_100_25_02_03_2400_0_JB.csv
0,0.2,0.3,2400,227.51,0.94,1026.16,2348.52,37.77,2,4,JB,C:/Users/gerardoamc/Downloads/Data Collection/0 degree orientation/0_4_3200_100_25_02_03_2400/2_100_25_02_03_2400_0_JB.csv
0,0.2,0.3,2400,227.68,0.94,1018.15,2703.41,36.45,3,1,JB,C:/Users/gerardoamc/Downloads/Data Collection/0 degree orientation/0_4_3200_100_25_02_03_2400/3_100_25_02_03_2400_0_JB.csv
0,0.2,0.3,2400,227.58,0.94,1260.57,2603.12,38.92,3,2,JB,C:/Users/gerardoamc/Downloads/Data Collection/0 degree orientation/0_4_3200_100_25_02_03_2400/3_100_25_02_03_2400_0_JB.csv
0,0.2,0.3,2400,227.5,0.94,1116.41,2759.29,38.78,3,3,JB,C:/Users/gerardoamc/Downloads/Data Collection/0 degree orientation/0_4_3200_100_25_02_03_2400/3_100_25_02_03_2400_0_JB.csv
0,0.2,0.3,2400,227.52,0.94,1167.45,3057.51,38.84,3,4,JB,C:/Users/gerardoamc/Downloads/Data Collection/0 degree orientation/0_4_3200_100_25_02_03_2400/3_100_25_02_03_2400_0_JB.csv
0,0.2,0.3,3600,226.75,1.34,1117.77,2641.06,35.93,1,1,M,C:/Users/gerardoamc/Downloads/Data Collection/0 degree orientation/0_4_3200_100_25_02_03_3600/1_100_25_02_03_3600_0_M.csv
0,0.2,0.3,3600,226.83,1.37,1078.62,2536.73,37.88,1,2,M,C:/Users/gerardoamc/Downloads/Data Collection/0 degree orientation/0_4_3200_100_25_02_03_3600/1_100_25_02_03_3600_0_M.csv
0,0.2,0.3,3600,226.77,1.37,1113.29,2144.84,37.66,1,3,M,C:/Users/gerardoamc/Downloads/Data Collection/0 degree orientation/0_4_3200_100_25_02_03_3600/1_100_25_02_03_3600_0_M.csv
0,0.2,0.3,3600,226.82,1.37,1106.55,1907.01,38.42,1,4,M,C:/Users/gerardoamc/Downloads/Data Collection/0 degree orientation/0_4_3200_100_25_02_03_3600/1_100_25_02_03_3600_0_M.csv
0,0.2,0.3,3600,227.55,1.38,1740.92,3038.25,37.56,2,1,JB,C:/Users/gerardoamc/Downloads/Data Collection/0 degree orientation/0_4_3200_100_25_02_03_3600/2_25_100_02_03_3600_0_JB.csv
